generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_Bulk,2020,Oahu,0,0,0,0
Oahu_Battery_Bulk,2022,Oahu,139.5,558,139.5,558
Oahu_Battery_Bulk,2025,Oahu,0,0,139.5,558
Oahu_Battery_Bulk,2030,Oahu,0,0,139.5,558
Oahu_Battery_Bulk,2035,Oahu,0,0,139.5,558
Oahu_Battery_Bulk,2040,Oahu,185.706,1671.36,185.706,1671.36
Oahu_Battery_Bulk,2045,Oahu,497.967,4107.44,683.673,5778.79
Oahu_Battery_Conting,2020,Oahu,62.2664,0,62.2664,0
Oahu_Battery_Conting,2022,Oahu,0,0,62.2664,0
Oahu_Battery_Conting,2025,Oahu,0,0,62.2664,0
Oahu_Battery_Conting,2030,Oahu,0,0,62.2664,0
Oahu_Battery_Conting,2035,Oahu,59.8355,0,59.8355,0
Oahu_Battery_Conting,2040,Oahu,0,0,59.8355,0
Oahu_Battery_Conting,2045,Oahu,0,0,59.8355,0
Oahu_Battery_Reg,2020,Oahu,0,0,0,0
Oahu_Battery_Reg,2022,Oahu,0,0,0,0
Oahu_Battery_Reg,2025,Oahu,0,0,0,0
Oahu_Battery_Reg,2030,Oahu,0,0,0,0
Oahu_Battery_Reg,2035,Oahu,0,0,0,0
Oahu_Battery_Reg,2040,Oahu,0,0,0,0
Oahu_Battery_Reg,2045,Oahu,0,0,0,0
Oahu_DistBattery,2020,Oahu,31.941,127.764,31.941,127.764
Oahu_DistBattery,2022,Oahu,22.661,90.644,54.602,218.408
Oahu_DistBattery,2025,Oahu,11.409,45.636,66.011,264.044
Oahu_DistBattery,2030,Oahu,33.387,133.548,99.398,397.592
Oahu_DistBattery,2035,Oahu,76.83,307.32,144.287,577.148
Oahu_DistBattery,2040,Oahu,82.792,331.168,193.009,772.036
Oahu_DistBattery,2045,Oahu,84.51,338.04,244.132,976.528
