generation_project,gen_vintage,gen_tech,gen_load_zone,gen_energy_source,gen_is_intermittent,variable,period,value
Oahu_AES,1992,AES,Oahu,multiple,0,amortized_cost,2020,696106.2282373381
Oahu_AES,1992,AES,Oahu,multiple,0,amortized_cost,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,capacity_added,2020,0.0
Oahu_AES,1992,AES,Oahu,multiple,0,capacity_added,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,capacity_in_place,2020,180.0
Oahu_AES,1992,AES,Oahu,multiple,0,capacity_in_place,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,capacity_retired,2020,
Oahu_AES,1992,AES,Oahu,multiple,0,capacity_retired,2022,180.0
Oahu_AES,1992,AES,Oahu,multiple,0,capital_outlay,2020,0.0
Oahu_AES,1992,AES,Oahu,multiple,0,capital_outlay,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,fixed_om,2020,14677622.956780866
Oahu_AES,1992,AES,Oahu,multiple,0,fixed_om,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,fuel_cost,2020,109811746.06596807
Oahu_AES,1992,AES,Oahu,multiple,0,fuel_cost,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,non_renewable_output,2020,1576800.0000000016
Oahu_AES,1992,AES,Oahu,multiple,0,non_renewable_output,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,renewable_output,2020,0.0
Oahu_AES,1992,AES,Oahu,multiple,0,renewable_output,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,startup_om,2020,0.0
Oahu_AES,1992,AES,Oahu,multiple,0,startup_om,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,storage_load,2020,0.0
Oahu_AES,1992,AES,Oahu,multiple,0,storage_load,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,total_output,2020,1576800.0000000016
Oahu_AES,1992,AES,Oahu,multiple,0,total_output,2022,
Oahu_AES,1992,AES,Oahu,multiple,0,variable_om,2020,6031959.419571847
Oahu_AES,1992,AES,Oahu,multiple,0,variable_om,2022,
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,amortized_cost,2020,283791.85665925033
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,amortized_cost,2022,283791.85665925033
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,amortized_cost,2025,283791.85665925033
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,amortized_cost,2030,283791.85665925033
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,amortized_cost,2035,283791.85665925033
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,amortized_cost,2040,283791.85665925033
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,amortized_cost,2045,283791.85665925033
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_added,2020,0.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_added,2022,0.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_added,2025,0.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_added,2030,0.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_added,2035,0.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_added,2040,0.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_added,2045,0.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_in_place,2020,8.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_in_place,2022,8.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_in_place,2025,8.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_in_place,2030,8.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_in_place,2035,8.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_in_place,2040,8.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_in_place,2045,8.0
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_retired,2020,
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_retired,2022,
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_retired,2025,
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_retired,2030,
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_retired,2035,
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_retired,2040,
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capacity_retired,2045,
Oahu_Airport_DSG,2013,Airport_DSG,Oahu,multiple,0,capital_outlay,2020,0.0
